,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
602,Flat,Residential,Off-Plan Properties,Business Bay,1-102-2015-16925,Sales,Sell - Pre registration,THE STERLING EAST HOUSE,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,167.48,2942244.0,17567.73,,,THE STERLING EAST HOUSE,Unit,09-11-2015
603,Flat,Residential,Off-Plan Properties,Marsa Dubai,1-102-2016-15527,Sales,Sell - Pre registration,Jumeirah Gate,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Residency,Marina Mall,2 B/R,1,109.75,2490000.0,22687.93,,,Jumeirah Gate Tower 1,Unit,10-04-2017
604,Flat,Residential,Existing Properties,Al Hebiah Fourth,1-110-2017-638,Sales,Lease to Own Registration,CANAL RESIDENCE WEST (PHASE 1),Dubai Sports City,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,2 B/R,1,133.76,1983933.0,14832.03,,,VENETIAN,Unit,05-07-2017
605,Flat,Residential,Off-Plan Properties,Hadaeq Sheikh Mohammed Bin Rashid,1-102-2018-10879,Sales,Sell - Pre registration,PARK RIDGE,DUBAI HILLS - PARK,Burj Al Arab,First Abu Dhabi Bank Metro Station,Mall of the Emirates,1 B/R,1,60.51,921888.0,15235.3,,,PARK RIDGE TOWER C,Unit,01-08-2018
606,Office,Commercial,Existing Properties,Business Bay,1-11-2019-1330,Sales,Sell,THE MERTOPOLIS,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,61.4,540000.0,8794.79,,,THE METROPOLIS,Unit,13-02-2019
607,Flat,Residential,Existing Properties,Dubai Investment Park First,1-45-2019-391,Sales,Sell Development,,Dubai Investment Park First,Expo 2020 Site,DANUBE Metro Station,Ibn-e-Battuta Mall,1 B/R,1,96.85,550000.0,5678.88,,,SOUTH WEST APARTMENTS 2,Unit,11-09-2019
608,Flat,Residential,Existing Properties,Warsan Fourth,1-11-2021-1212,Sales,Sell,RITZ RESIDENCE,International City Phase 3,,Rashidiya Metro Station,City Centre Mirdif,Studio,1,33.33,220000.0,6600.66,,,RITZ RESIDENCE,Unit,26-01-2021
609,,Residential,Existing Properties,Al Yufrah 2,2-190-2022-432,Mortgages,Delayed Mortgage,DAMAC HILLS (2) - ODORA ,DAMAC HILLS 2,Dubai Cycling Course,,,,0,177.22,637500.0,3597.22,,,,Land,30-03-2022
610,Flat,Residential,Existing Properties,Palm Jumeirah,3-9-2023-2867,Gifts,Grant,,Palm Jumeirah,Burj Al Arab,Palm Jumeirah,Marina Mall,2 B/R,1,144.07,3010613.0,20896.88,,,Al Dabas,Unit,10-05-2023
611,Flat,Residential,Existing Properties,Al Thanyah Third,1-11-2023-31407,Sales,Sell,TANARO,The Greens,Burj Al Arab,Nakheel Metro Station,Marina Mall,2 B/R,1,125.6,2000000.0,15923.57,,,TNARO,Unit,02-10-2023
612,Flat,Residential,Existing Properties,Business Bay,1-11-2024-8123,Sales,Sell,PRIVE BY DAMAC,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Studio,1,38.64,963340.0,24931.16,,,PRIVE BY DAMAC (A),Unit,05-03-2024
